Ticker,Company,vertical,ipo_type
MELI,MercadoLibre,Payments,IPO
GDOT,Green Dot,Banking,IPO
ENV,Envestnet,B2B SaaS,IPO
FLT,Corepay (fka Fleetpay),Payments,IPO
XROLF,Xero,B2B SaaS,IPO
QTWO,Q2 Holdings,B2B SaaS,IPO
VIRT,Virtu Financial Inc,Wealth/Asset Mgmt,IPO
SHOP,Shopify,Payments,IPO
PYPL,Paypal,Payments,IPO
SQ,Square,Payments,IPO
BL,Blackline,B2B SaaS,IPO
RDFN,Redfin,PropTech,IPO
PAGS,PagSeguro,Payments,IPO
ADYEY,Adyen,Payments,IPO
AVLR,Avalara,B2B SaaS,IPO
EVER,EverQuote,Insurance,IPO
FCH.L,Funding Circle,Lending,IPO
STNE,Stone,Payments,IPO
SEZNL,Sezzle Inc.,Lending,IPO
BILL,Bill.com,B2B SaaS,IPO
LMND,Lemonade,Insurance,IPO
NCNO,nCino,Banking,IPO
DCT,Duck Creek,B2B SaaS,IPO
LSPD,Lightspeed POS Inc.,Payments,IPO
ROOT,Root Insurance,Insurance,IPO
LU,Lufax,Lending,IPO
UPST,Upstart,Lending,IPO
OPEN,OpenDoor,PropTech,SPAC
CLOV,Clover Health,Insurance,SPAC
AFRM,Affirm,Lending,IPO
BTRS,Billtrust,Payments,SPAC
MILE,MetroMile,Insurance,SPAC
LDI,LoanDepot,Lending,IPO
OSCR,Oscar Health,Insurance,IPO
OLO,Olo,Payments,IPO
COMP,Compass,PropTech,IPO
ALKT,Alkami Technology,B2B SaaS,IPO
COIN,Coinbase,Wealth/Asset Mgmt,Direct Listing
FLYW,Flywire,Payments,IPO
PAY,Paymentus,Payments,IPO
SOFI,SoFi,Banking,SPAC
DLO,dLocal,Payments,IPO
MQ,Marqeta,Payments,IPO
KPLT,Katapult,Lending,SPAC
BHG,Bright Health,Insurance,IPO
PAYO,Payoneer,Payments,SPAC
INTA,Intapp Inc.,B2B SaaS,IPO
WPLCF,Wise,Payments,Direct Listing
BLND,Blend Labs,PropTech,IPO
DOMA,Doma,PropTech,SPAC
HOOD,Robinhood,Wealth/Asset Mgmt,IPO
HIPO,Hippo Insurance,Insurance,SPAC
TOST,Toast,Payments,IPO
ML,MoneyLion,Banking,SPAC
RELY,Remitly,Payments,IPO
AVDX,AvidXchange,Payments,IPO
BKKT,Bakkt Holdings,Wealth/Asset Mgmt,SPAC
NRDS,Nerdwallet,Banking,IPO
EXFY,Expensify,B2B SaaS,IPO
NU,NuBank,Banking,IPO
DAVE,Dave,Banking,SPAC
BULL,Webull,Wealth/Asset Mgmt,SPAC
ETOR,eToro,Wealth/Asset Mgmt,IPO
CHYM,Chime,Banking,IPO
CRCL,Circle,Wealth/Asset Mgmt,IPO
